STATE,TIME_START,TIME_END,IS_CLOSED,COMPONENT_NAME
HV trip,14-JUN-17 03.07.20.461000000 PM,14-JUN-17 03.17.23.846000000 PM,1,ME+2/1/11/3/HVSegment3
HV trip,14-JUN-17 03.09.18.468000000 PM,14-JUN-17 03.19.21.859000000 PM,1,ME-1/3/20/1/HVSegment2
HV trip,14-JUN-17 03.10.03.631000000 PM,14-JUN-17 03.20.06.897000000 PM,1,ME-3/2/13/2/HVSegment1
HV trip,14-JUN-17 03.31.58.220000000 PM,14-JUN-17 03.42.01.512000000 PM,1,ME+4/2/03/6/HVSegment5
HV trip,14-JUN-17 10.03.36.231000000 PM,14-JUN-17 10.13.39.598000000 PM,1,ME+4/2/33/6/HVSegment5
HV trip,14-JUN-17 10.16.18.927000000 PM,14-JUN-17 10.26.22.633000000 PM,1,ME-3/2/13/2/HVSegment1
HV trip,14-JUN-17 10.50.56.842000000 PM,14-JUN-17 11.01.00.176000000 PM,1,ME+3/1/16/6/HVSegment2
HV trip,14-JUN-17 10.52.06.672000000 PM,14-JUN-17 11.02.10.036000000 PM,1,ME+4/2/03/6/HVSegment5
HV trip,14-JUN-17 10.56.37.808000000 PM,14-JUN-17 11.06.44.661000000 PM,1,ME+3/1/02/1/HVSegment2
HV trip,14-JUN-17 10.57.03.332000000 PM,14-JUN-17 11.07.06.694000000 PM,1,ME-3/1/18/4/HVSegment2
HV trip,14-JUN-17 11.24.04.310000000 PM,14-JUN-17 11.34.07.657000000 PM,1,ME+4/2/03/6/HVSegment5
HV trip,15-JUN-17 12.18.26.341000000 AM,15-JUN-17 12.28.29.661000000 AM,1,ME+3/1/02/1/HVSegment2
HV trip,15-JUN-17 12.48.33.303000000 AM,15-JUN-17 12.58.36.704000000 AM,1,ME+3/1/16/6/HVSegment2
